DC_Code,DC_Name,barcode,stock_no,description_1,description_2,category,category_name,total_inventory,shipping_qty,allocate_qty,blocked_qty,available_qty,arrival_qty,expected_inventory,order_point,unit,uodate_date
02,DC02,4573191233787,MI-1555P,【スタイリングウォールミラー】ブロンズウッド（全身タイプ）,,2HA2,理美容・ヘア,67,0,0,0,67,0,67,109,PC,2020/08/04 16:36:57

02,DC02,4573191233800,RE-0821P,OLDEST-S（オールデスト エス） オールドブラウン,,2HA2,理美容・ヘア,17,1,1,0,16,0,16,34,PC,2020/06/26 13:38:37

02,DC02,4573191233916,SO-4873P,【ラグジュアリー】スタイリングチェア WINDSOR（ウィンザー・トップ） オー,,2HA2,理美容・ヘア,0,0,0,0,0,7,7,56,PC,1900/01/01 00:00:00

02,DC02,4573191233985,SO-0048P,ステンレス丸盤ベースHD-2,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,8,PC,2020/01/07 15:26:21

02,DC02,4573191233992,SO-0050P,ステンレス丸盤ベース（大径タイプ）HD-3M,,2HA2,理美容・ヘア,113,4,0,0,109,0,109,0,PC,2020/08/04 18:09:05

02,DC02,4573191234036,SO-4491P,丸盤ベース（太ポンプ）BK-7,,2HA2,理美容・ヘア,44,0,0,0,44,0,44,3,PC,2020/08/04 14:11:29

02,DC02,4573191234043,SO-4492P,5本脚ベースBK-5,,2HA2,理美容・ヘア,19,0,0,0,19,0,19,139,PC,2020/07/16 13:20:24

02,DC02,4573191234050,SO-4493P,【アーバン】スタイリングチェア ALVIN（トップ） ブラック,,2HA2,理美容・ヘア,16,0,0,0,16,0,16,43,PC,2020/07/02 10:33:55

02,DC02,4573191234067,SO-4494P,【アーバン】スタイリングチェア ALVIN（トップ） ダークブラウン,,2HA2,理美容・ヘア,31,0,0,0,31,0,31,90,PC,2020/06/23 11:45:03

02,DC02,4573191234081,SO-4499P,丸盤ベースMC-2,,2HA2,理美容・ヘア,71,1,0,0,70,45,115,264,PC,2020/08/04 16:36:57

02,DC02,4573191234357,SO-5183P,5本脚ベースMC-3,,2HA2,理美容・ヘア,91,4,4,0,87,0,87,248,PC,2020/08/04 10:08:54

02,DC02,4573191234401,AS-1344P,電動リクライニングチェア PORTE（ポルテ）,,2NA2,ネイル,0,0,0,0,0,8,8,3,PC,1900/01/01 00:00:00

02,DC02,4573191234432,BS-1527P,シャンプースタンド（本体） ホワイト/ブラック,,2HA2,理美容・ヘア,17,10,3,0,7,41,48,0,PC,2020/08/04 15:09:30

02,DC02,4573191234456,BS-1758P,シャンプーボール「S-GRANDE β,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,0,PC,2020/01/05 18:13:16

02,DC02,4573191234470,BS-1854P,サーモ金具セットMW-240BG-120-21CC,,2HA2,理美容・ヘア,1,0,0,0,1,0,1,57,PC,2020/01/07 15:26:21

02,DC02,4573191234791,CO-0024P,レッグレストカバー（電動シャンプーチェアALVIN専用）,,2HA2,理美容・ヘア,12,0,0,0,12,0,12,0,PC,2019/12/16 11:58:29

02,DC02,4573191234852,DE-2280P,スタンダードエステベッドF-201（無孔）,,2ES2,エステティック,10,0,0,0,10,0,10,0,PC,2020/08/03 10:31:57

02,DC02,4573191234869,DM-8657P,【FIORETTO】低反発木製リクライニングベッド「フィオレット」,,2ES2,エステティック,8,0,0,0,8,0,8,0,PC,2020/08/04 16:23:17

02,DC02,4573191234890,DM-8913P,【FIORETTO】低反発木製リクライニングベッド「フィオレット」,,2ES2,エステティック,9,0,0,0,9,0,9,0,PC,2020/08/04 16:24:14

02,DC02,4573191234906,DM-9263P,【FAGGIO】高級木製マッサージベッド「ファッジオ」ダークブラウン,,2ES2,エステティック,11,0,0,0,11,0,11,44,PC,2020/08/04 16:22:34

